Nombre element : 100000
0,100000,10926,125,0,399998
1,100000,10546,124,3,399996
2,100000,10958,117,4,399999
3,100000,10550,121,0,399995
4,100000,10643,123,8,399998
5,100000,11053,123,1,399994
6,100000,10758,123,1,399999
7,100000,10537,116,0,399999
8,100000,10633,123,1,399995
9,100000,10692,121,7,399998
Nombre element : 100000
10,100000,1530,232,0,399970
11,100000,1580,203,0,399975
12,100000,1542,219,0,399997
13,100000,1609,203,0,399981
14,100000,1590,161,0,399938
15,100000,1537,172,0,399944
16,100000,1550,180,0,399953
17,100000,1641,260,0,399870
18,100000,1560,155,0,399992
19,100000,1544,260,0,399997
Nombre element : 100000
19,100000,1564,253,0,399997
20,100000,16569,168,2,399984
21,100000,16577,226,1,399998
22,100000,16372,205,1,399999
23,100000,16239,166,1,399993
24,100000,16816,135,1,399958
25,100000,16040,133,1,399988
26,100000,16363,125,1,399949
27,100000,17216,187,1,399999
28,100000,17042,131,1,399924
29,100000,16192,188,1,399948
Nombre element : 10000
0,10000,137,35,1,39995,SORTED !
1,10000,142,36,0,39998,SORTED !
2,10000,141,34,4,39998,SORTED !
3,10000,127,34,2,39985,SORTED !
4,10000,137,34,2,39999,SORTED !
5,10000,153,30,7,39993,SORTED !
6,10000,143,29,10,39990,SORTED !
7,10000,144,35,2,39993,SORTED !
8,10000,145,29,4,39999,SORTED !
9,10000,142,35,12,39999,SORTED !
Nombre element : 10000
10,10000,52,71,0,39991,SORTED !
11,10000,45,49,0,39935,SORTED !
12,10000,41,42,0,39946,SORTED !
13,10000,42,66,0,39897,SORTED !
14,10000,49,48,0,39967,SORTED !
15,10000,57,40,1,39998,SORTED !
16,10000,64,58,0,39999,SORTED !
17,10000,52,40,1,39978,SORTED !
18,10000,44,40,0,39793,SORTED !
19,10000,54,65,0,39993,SORTED !
Nombre element : 10000
19,10000,63,70,0,39993,SORTED !
20,10000,235,71,1,39883,SORTED !
21,10000,236,55,1,39931,SORTED !
22,10000,223,67,1,39920,SORTED !
23,10000,222,41,1,39969,SORTED !
